bus,bus_id,name,annual_TWh,annual_pct,year_peak_valley,year_std,year_peak_hour,year_valley_hour,aug_peak_valley,aug_std,aug_peak_hour,jan_peak_valley,jan_std,jan_peak_hour,season_peak_shift
bus_152,152,칠곡,2.4017776910265236,0.43681641189606174,1.3071385856582578,0.09668796653691553,10,3,1.4351475661137498,0.13080806343554724,14,1.2989887168907117,0.09010013641029896,10,4
bus_61,61,동청주,8.36746703616876,1.5218090088244758,1.2787947682586969,0.08711493866778282,11,3,1.4406276061503285,0.1318783278218692,14,1.2350183730991304,0.07021234188691672,10,4
bus_41,41,여주,2.4088410217979748,0.43810103487143026,1.281195010699487,0.08810130540115083,11,3,1.4420090286784821,0.13240222386424666,13,1.2629124672646441,0.07601232464249666,10,3
bus_62,62,충북,4.18105745087953,0.7604178023836603,1.2821757173742523,0.0880830114375433,11,3,1.4453342656399457,0.13289352416194553,14,1.24066180690363,0.07156564775543157,10,4
bus_50,50,안성,3.602214771478958,0.6551424543725823,1.3099448314972573,0.09623349719852647,11,3,1.4539374287136613,0.13568984711189014,14,1.283500419961062,0.08339227745572074,10,4
bus_56,56,증평괴산,1.6562688154035212,0.30122912865040724,1.335232690288296,0.10378397361257562,10,3,1.4648280903074087,0.13964995243055228,14,1.3117949806889142,0.09231331373309952,10,4
bus_34,34,제물포,6.837940406096578,1.2436307507184774,1.317962559398771,0.09596014415804514,10,4,1.4720601374928721,0.1363481262780286,13,1.3066457620391787,0.0869289893110808,10,3
bus_145,145,완도,3.6696818294382183,0.6674128315557227,1.295749966688408,0.08430279411024928,19,3,1.4815435320834374,0.14542765160257057,13,1.2111765647538981,0.056809593361151836,18,5
bus_154,154,성주,1.2597328018126985,0.2291102813101776,1.3398039852139323,0.10498542221900493,10,3,1.4924477458043623,0.14585889535155525,14,1.2957939186668608,0.08720657424071561,9,5
bus_52,52,음성,2.6896890127067374,0.48917945571584664,1.360309303879863,0.1118206710555907,10,3,1.4943470006864028,0.14815898607864317,14,1.3334408792608476,0.10068001682402229,9,5
bus_118,118,고창,0.6450841163334143,0.11732281889397893,1.2303519567775238,0.07105269677981924,11,3,1.494657600044368,0.14504936561967097,13,1.1536065029860003,0.04233280586781026,8,5
bus_64,64,세종,3.2143772164057367,0.5846056141651866,1.3234713434583123,0.09900149060394756,10,3,1.4986075572325623,0.1432220220676576,13,1.3087392067533583,0.08817006755839583,10,3
bus_141,141,강진,0.594242202333251,0.10807609196731341,1.2241125629221967,0.06836846935261336,11,3,1.500113583852358,0.14625849502678603,14,1.1457023966005473,0.038408196044807066,8,6
bus_46,46,동용인,11.135593012994667,2.0252539618653107,1.3399391552156295,0.1061445824503169,11,3,1.5005830996929248,0.1478055066406149,13,1.367030280291172,0.10570682757243564,10,3
bus_116,116,임실,0.2721339680993636,0.04949358300076265,1.2403255090659502,0.07377842157786949,11,3,1.5012186464532074,0.14707006466588154,13,1.1724918194302616,0.04429777822688017,8,5
bus_84,84,충주,2.8308254517018754,0.5148482397585921,1.3523259960301242,0.10648532745985653,11,3,1.5096704755492025,0.14699295743560656,14,1.3468883081405085,0.09827531532038705,10,4
bus_123,123,곡성,0.39415350472489563,0.0716855353904963,1.329222244867937,0.1026242158879924,10,3,1.5114906262692267,0.15131683234830723,14,1.2751413864103511,0.0768021210467114,9,5
bus_121,121,장성,0.5663845916413492,0.10300956911971672,1.2915439534074244,0.08902492671466426,10,3,1.5148348691586615,0.15109103905628965,13,1.2325966957335976,0.06197931409245118,9,4
bus_168,168,창녕,1.0527786608718457,0.19147109196698,1.2891727859077124,0.0885093788272441,10,3,1.518240766085716,0.15116960326360465,14,1.200103323094157,0.046871140252349265,8,6
bus_114,114,부안,0.6050823683995696,0.11004761600267195,1.3034561417255768,0.09217433438188687,11,3,1.5192227136959418,0.15033256388719765,13,1.2253113324121556,0.06336327289499542,9,4
bus_105,105,금산,1.0012125667321716,0.18209265685962425,1.373721279999607,0.1161029780296781,10,3,1.5225686041785997,0.15551267338369226,14,1.3439532666960337,0.10167881199146894,9,5
bus_40,40,안산,9.066852762442807,1.649007776896877,1.3721376589120875,0.11403363512129203,10,4,1.5234375368304907,0.15090483943377536,14,1.3733902106369535,0.10903252288681226,10,4
bus_109,109,익산,3.113927629484334,0.5663366343593599,1.3552035215427198,0.1068302536946081,11,3,1.5244377432794727,0.1502324565598478,13,1.3240580512955598,0.0920881748680247,10,3
bus_129,129,함평,0.5014203317918982,0.09119438114668162,1.2824583375460827,0.08633513085853786,11,3,1.5253272237910926,0.15214955525144497,13,1.1981436997149033,0.05109527898345428,8,5
bus_97,97,청양,0.5732327401314823,0.10425505643636875,1.3106448273703504,0.09394123488132614,11,3,1.5262076733156773,0.1522284788395064,13,1.2202506170761067,0.06001771985701155,9,4
bus_158,158,경주,4.261701812037064,0.7750847636982304,1.350723418235913,0.10347145305118054,10,3,1.528030708839425,0.1485907571777411,14,1.3023782093302738,0.0849162924769046,9,5
bus_95,95,의성,0.38684823090662646,0.07035690971912921,1.3071201693307282,0.09380360543705865,11,3,1.5297157786618383,0.15309665005357573,13,1.226610010376913,0.0620854392538701,9,4
bus_96,96,공주,1.685624537340041,0.30656811617320684,1.339931669831402,0.10327546950565918,11,3,1.531187766075671,0.15326905424135417,13,1.301228140397953,0.08499729827057366,10,3
bus_125,125,구례,0.43417311217720705,0.07896398643037421,1.3140872226690847,0.09690740276853134,11,3,1.5344894411064387,0.15407784654458426,13,1.2684358937372247,0.07474152140978296,10,3
bus_54,54,진천,3.5460500571712945,0.6449276584442567,1.4101815392188382,0.12866868569839696,10,3,1.5381439192283886,0.16071252061835264,14,1.3972216293938353,0.11960334089786873,9,5
